"Code";"Name";"Continent";"Region";"SurfaceArea";"IndepYear";"Population";"LifeExpectancy";"GNP";"GNPOld";"LocalName";"GovernmentForm";"HeadOfState";"Capital";"Code2"
"ABW";"Aruba";"North America";"Caribbean";193.0;0;103000;78.4;828.0;793.0;"Aruba";"Nonmetropolitan Territory of The Netherlands";"Beatrix";129;"AW"
"AFG";"Afghanistan";"Asia";"Southern and Central Asia";652090.0;1919;22720000;45.9;5976.0;0.0;"Afganistan/Afqanestan";"Islamic Emirate";"Mohammad Omar";1;"AF"
